,P-Africa,R-Africa,P-Asia,R-Asia,P-Europe,R-Europe,P-North America,R-North America,P-Oceania,R-Oceania,P-South America,R-South America
42600,,,,,0.7351,90.0,0.4215,84,,,,
42601,,,,,0.886,90.0,0.0,84,,,,
42602,,,,,0.4404,90.0,0.4404,84,,,,
42603,,,,,0.2732,90.0,-0.5719,84,,,,
42604,,,,,0.7184,90.0,0.8537,86,,,,
42605,,,,,0.4404,84.0,0.2732,86,,,,
42606,,,,,0.8934,84.0,0.6395,86,,,,
42607,,,,,0.5423,84.0,0.8271,86,,,,
42608,,,,,0.0,84.0,0.7845,86,,,,
42609,,,,,0.9493,90.0,-0.0854,84,,,,
42610,,,,,0.8316,90.0,0.4404,84,,,,
42611,,,,,0.4404,90.0,0.3818,84,,,,
42612,,,,,0.5574,90.0,0.4019,84,,,,
42613,,,,,0.9153,90.0,0.177,84,,,,
42614,,,,,-0.3506,90.0,0.4062,84,,,,
42615,,,,,0.7096,90.0,0.802,84,,,,
42616,,,,,0.2023,90.0,0.2846,84,,,,
42617,,,,,0.743,90.0,-0.7354,84,,,,
42618,,,,,0.9501,90.0,0.8481,84,,,,
42619,,,,,0.8765,90.0,0.4588,84,,,,
42620,,,,,0.5574,90.0,0.3182,87,,,,
42621,,,,,0.8625,89.0,0.9382,87,,,,
42622,,,,,0.0,89.0,0.7003,87,,,,
42623,,,,,0.5106,89.0,0.0644,87,,,,
42624,,,,,0.2631,89.0,-0.4703,87,,,,
42625,,,,,0.8316,89.0,0.0,87,,,,
42626,,,,,0.6486,89.0,0.6124,89,,,,
42627,,,,,0.875,89.0,0.4404,89,,,,
42628,,,,,0.9252,89.0,0.5719,89,,,,
42629,,,,,0.7841,89.0,0.7801,89,,,,
42630,,,,,0.4981,88.0,0.7003,89,,,,
42631,,,,,0.802,88.0,0.8201,89,,,,
42632,,,,,0.802,92.0,0.8974,89,,,,
42633,,,,,0.8625,92.0,0.4215,89,,,,
42634,,,,,0.9698,92.0,0.0,89,,,,
42635,,,,,0.9903,92.0,0.8225,89,,,,
42636,,,,,0.743,92.0,0.296,89,,,,
42637,,,,,0.4939,92.0,0.7902,89,,,,
42638,,,,,0.25,92.0,-0.0138,89,,,,
42639,,,,,0.9274,92.0,0.923,89,,,,
42640,,,,,0.8588,92.0,0.9267,89,,,,
42641,,,,,0.8103,92.0,0.7783,89,,,,
42642,,,,,0.9714,92.0,0.0,89,,,,
42643,,,,,0.7073,92.0,0.4939,88,,,,
42644,,,,,0.1531,93.0,0.6808,88,,,,
42645,,,,,0.7906,88.0,0.7968,88,,,,
42646,,,,,0.8658,88.0,0.9109,91,,,,
